Food,Serving,Calories
Avocado,2 slice,337 cal
Almonds,2 g,271 cal
Bell Pepper,2 g,68 cal
Flax Seeds,2 piece,583 cal
Brown Rice,1 oz,261 cal
Granola,2 cup,356 cal
Walnuts,1 cup,225 cal
Bacon,2 oz,373 cal
Avocado,2 slice,528 cal
Radish,1 cup,301 cal
Basil,2 cup,565 cal
Tuna,2 oz,342 cal
Cucumber,2 g,563 cal
Salmon,2 g,132 cal
Bread,2 piece,267 cal
Peas,2 piece,595 cal
Fig,1 slice,393 cal
Papaya,1 cup,329 cal
Tomato,1 slice,271 cal
Cereal,1 cup,537 cal
Mint,1 cup,207 cal
Tuna,2 cup,271 cal
Avocado,2 cup,575 cal
Beetroot,1 oz,262 cal
Grapes,1 cup (308 g),437 cal
Turkey,1 cup (353 g),83 cal
Hot Dog,2 g (225 g),293 cal
Pasta,2 cup (390 g),55 cal
Doughnut,3 tsp (233 g),5 cal
Bell Pepper,3 tbsp (291 g),118 cal
Ice Cream,2 cup (230 g),283 cal
Chocolate,1 piece (143 g),33 cal
Lemon,1 cup (411 g),11 cal
Peach,1 cup (382 g),338 cal
Potato,1 oz (132 g),352 cal
Feta Cheese,3 piece (291 g),45 cal
Burger,1 tbsp (249 g),453 cal
Pork,1 oz (437 g),312 cal
Pancake,1 tsp (51 g),331 cal
Parsley,2 oz (204 g),163 cal
Ice Cream,1 oz (62 g),223 cal
Egg,3 g (475 g),184 cal
Turkey,2 slice (157 g),109 cal
Apple,2 cup (314 g),293 cal
Yogurt,3 g (219 g),234 cal
Raspberry,2 tsp (136 g),236 cal
Broccoli,3 oz (220 g),313 cal
Cake,1 tbsp (478 g),316 cal
Kiwi,3 tsp (263 g),353 cal
Walnut,3 cup (236 g),273 cal
Sausage,3 tsp (325 g),49 cal
Kiwi,2 tsp (236 g),32 cal
Cookie,3 slice (183 g),342 cal
Broccoli,3 slice (326 g),467 cal
Baked Beans,1 cup (198 g),273 cal
Kiwi,1 oz (342 g),18 cal
Almond,3 tbsp (195 g),157 cal
Oatmeal,2 g (403 g),123 cal
Cucumber,3 oz (478 g),475 cal
Watermelon,2 tbsp (227 g),350 cal
Cereal,3 slice (189 g),379 cal
Green Beans,3 cup (357 g),102 cal
Pasta,2 tbsp (495 g),343 cal
Bread,3 tsp (482 g),262 cal
Green Beans,3 g (128 g),343 cal
Bacon,2 oz (482 g),254 cal
Hazelnut,2 g (162 g),369 cal
Quinoa,2 tbsp (474 g),108 cal
Almond,2 tsp (380 g),384 cal
Pineapple,2 cup (442 g),427 cal
French Fries,2 g (484 g),167 cal
Cucumber,3 tsp (117 g),425 cal
Mushroom,1 tsp (385 g),326 cal
Tomato,2 tbsp (451 g),283 cal
Ginger,3 tsp (291 g),151 cal
Waffle,2 cup (124 g),333 cal
Bagel,3 slice (186 g),94 cal
Pasta,1 piece (310 g),415 cal
Ice Cream,1 piece (321 g),51 cal
Pork,3 piece (266 g),199 cal
Turkey,3 cup (292 g),193 cal
Egg,3 slice (176 g),497 cal
Spinach,2 piece (248 g),22 cal
Zucchini,1 slice (205 g),156 cal
Prawns,1 slice (401 g),322 cal
Bagel,3 tbsp (280 g),349 cal
Lemon,1 oz (486 g),136 cal
Watermelon,3 cup (318 g),125 cal
Green Beans,2 tbsp (81 g),293 cal
Cherry,2 cup (492 g),17 cal
Blueberry,1 tsp (316 g),108 cal
Cheese,1 g (459 g),179 cal
Pasta,3 tsp (193 g),125 cal
Spinach,1 piece (225 g),82 cal
Plum,2 tbsp (195 g),135 cal
Cookie,2 cup (113 g),428 cal
Pancake,1 oz (254 g),92 cal
Yogurt,2 tsp (292 g),350 cal
Kale,2 piece (462 g),317 cal
Cheese,1 piece (284 g),255 cal
Mushroom,2 tbsp (214 g),242 cal
Plum,3 tsp (430 g),80 cal
Peach,1 piece (390 g),251 cal
Beef,1 oz (63 g),174 cal
Coconut,2 piece (373 g),79 cal
Green Beans,1 oz (485 g),63 cal
Avocado,1 tbsp (429 g),485 cal
Blackberry,3 piece (436 g),498 cal
Garlic,2 slice (94 g),232 cal
Ham,2 g (366 g),355 cal
Cashew,3 cup (200 g),118 cal
Tofu,3 tbsp (121 g),273 cal
Bacon,3 cup (208 g),338 cal
Papaya,1 piece (482 g),495 cal
Chicken Breast,1 oz (221 g),13 cal
Green Beans,3 tbsp (448 g),437 cal
Pasta,3 cup (78 g),38 cal
Bacon,1 piece (417 g),490 cal
Cabbage,3 oz (339 g),128 cal
Beef,1 g (318 g),87 cal
Soy Milk,1 cup (136 g),130 cal
Raspberry,3 piece (494 g),120 cal
Egg,3 piece (473 g),406 cal
Pear,1 g (394 g),351 cal
Bagel,1 piece (191 g),406 cal
Tuna,3 oz (63 g),251 cal
Pineapple,2 slice (279 g),37 cal
Crab,1 tbsp (61 g),252 cal
Potato,2 g (353 g),286 cal
Brownie,3 cup (382 g),14 cal
Pasta,2 tsp (462 g),249 cal
Apple,1 tsp (109 g),358 cal
Lettuce,3 tbsp (298 g),440 cal
Milk,1 tbsp (499 g),433 cal
Honey,1 tbsp (351 g),122 cal
Milk,3 g (230 g),277 cal
Mushroom,3 slice (190 g),99 cal
Banana,3 tbsp (238 g),89 cal
Pork,3 g (365 g),409 cal
Almond Milk,3 cup (432 g),67 cal
Pasta,3 tsp (298 g),215 cal
Kiwi,3 oz (470 g),381 cal
French Fries,2 piece (496 g),254 cal
Ice Cream,3 oz (282 g),433 cal
Doughnut,3 tsp (309 g),492 cal
Apricot,2 piece (383 g),177 cal
Lettuce,1 piece (76 g),20 cal
Kiwi,2 piece (439 g),431 cal
Corn,2 oz (388 g),298 cal
Kiwi,2 tsp (182 g),495 cal
Lemon,1 cup (176 g),265 cal
Watermelon,1 tsp (80 g),428 cal
Waffle,2 tbsp (500 g),330 cal
Cherry,2 oz (305 g),190 cal
Banana,1 oz (429 g),438 cal
Ginger,1 tsp (68 g),130 cal
Cherry,2 slice (416 g),42 cal
Beef,2 g (311 g),419 cal
Lettuce,2 slice (58 g),158 cal
Blackberry,2 tsp (462 g),64 cal
Peach,3 g (70 g),378 cal
Cheese,1 slice (85 g),95 cal
Oatmeal,2 cup (251 g),95 cal
Turkey,3 cup (375 g),175 cal
Coconut,3 piece (164 g),434 cal
Honey,3 tbsp (459 g),120 cal
Celery,1 slice (187 g),347 cal
Yogurt,2 tsp (265 g),78 cal
Mango,2 g (112 g),235 cal
Quinoa,2 g (181 g),451 cal
Pancake,1 slice (236 g),107 cal
Blackberry,3 tbsp (300 g),174 cal
Pear,2 piece (482 g),108 cal
Turkey,3 piece (336 g),65 cal
Peas,2 slice (250 g),64 cal
Mango,3 cup (362 g),85 cal
Cucumber,1 slice (115 g),181 cal
Peach,1 tbsp (363 g),286 cal
Pineapple,2 oz (459 g),129 cal
Peas,1 cup (285 g),245 cal
Tuna,3 oz (496 g),77 cal
Green Beans,2 slice (58 g),250 cal
Pancake,1 cup (131 g),106 cal
Bacon,1 tsp (266 g),380 cal
Olive Oil,2 tsp (281 g),207 cal
Pasta,1 tbsp (385 g),350 cal
Lime,2 oz (334 g),131 cal
Spinach,1 cup (92 g),312 cal
Raspberry,2 g (395 g),49 cal
Fig,3 tsp (448 g),176 cal
Crab,2 g (135 g),178 cal
Blackberry,3 piece (280 g),290 cal
Tofu,2 oz (462 g),216 cal
Waffle,2 oz (98 g),254 cal
Raspberry,2 piece (457 g),464 cal
Lemon,2 cup (124 g),263 cal
Mushroom,2 oz (139 g),410 cal
Lamb,1 oz (326 g),463 cal
Potato,2 oz (434 g),14 cal
Lentils,1 oz (417 g),234 cal
Cherry,3 g (375 g),101 cal
Walnut,1 cup (200 g),177 cal
Walnut,2 tbsp (262 g),232 cal
Pork,3 slice (148 g),41 cal
Blackberry,2 cup (311 g),405 cal
Popcorn,3 g (239 g),255 cal
Butter,2 slice (433 g),304 cal
Macadamia,2 g (63 g),59 cal
Chickpeas,3 tbsp (209 g),333 cal
Beef,2 tbsp (211 g),177 cal
Green Beans,2 oz (256 g),249 cal
Salmon,1 tsp (59 g),181 cal
Egg,2 slice (451 g),420 cal
Tomato,2 g (444 g),247 cal
Pork,2 piece (245 g),47 cal
Turkey,3 slice (66 g),438 cal
Mozzarella,1 oz (277 g),201 cal
Doughnut,3 tbsp (258 g),395 cal
Doughnut,2 slice (152 g),69 cal
Orange,1 g (64 g),400 cal
Chicken Breast,2 oz (286 g),90 cal
Pizza,2 g (458 g),153 cal
Tofu,3 tbsp (112 g),325 cal
Soy Milk,2 oz (356 g),338 cal
Blueberry,2 g (300 g),96 cal
Lemon,2 tbsp (335 g),309 cal
Crab,2 oz (365 g),192 cal
Plum,3 oz (377 g),92 cal
Blackberry,2 piece (429 g),64 cal
Basil,1 slice (305 g),271 cal
Beef,2 g (274 g),261 cal
Honey,3 piece (324 g),49 cal
Cheese,1 tbsp (399 g),389 cal
Peach,2 piece (87 g),26 cal
Duck,1 cup (324 g),45 cal
Lamb,1 slice (262 g),326 cal
French Fries,1 slice (58 g),188 cal
Pineapple,2 slice (439 g),151 cal
Kale,2 g (278 g),140 cal
Plum,3 tbsp (315 g),362 cal
Green Beans,2 g (315 g),441 cal
Popcorn,1 tbsp (398 g),132 cal
Cereal,2 tsp (177 g),370 cal
Green Beans,2 tsp (197 g),292 cal
Garlic,2 slice (249 g),435 cal
Strawberry,3 piece (286 g),64 cal
Popcorn,3 cup (370 g),241 cal
Lamb,3 g (343 g),72 cal
Cookie,2 tsp (298 g),408 cal
Bacon,3 oz (152 g),123 cal
Cucumber,1 slice (360 g),225 cal
Apricot,3 g (101 g),345 cal
Prawns,3 oz (412 g),284 cal
Yogurt,2 oz (97 g),190 cal
Mushroom,1 piece (396 g),147 cal
Chocolate,2 cup (369 g),189 cal
Prawns,3 oz (425 g),359 cal
Almond,1 slice (291 g),18 cal
Lettuce,2 tbsp (296 g),19 cal
Bread,1 g (236 g),105 cal
Green Beans,2 g (306 g),386 cal
Honey,1 oz (85 g),195 cal
Cheese,2 tsp (385 g),47 cal
Coconut,3 tbsp (74 g),393 cal
Kiwi,2 oz (304 g),455 cal
Bell Pepper,1 cup (80 g),452 cal
Soy Milk,3 slice (393 g),171 cal
Cherry,2 piece (319 g),367 cal
Pasta,2 g (385 g),155 cal
Cheese,3 tsp (415 g),253 cal
Papaya,1 tbsp (415 g),409 cal
Steak,3 tbsp (232 g),31 cal
Prawns,2 oz (481 g),231 cal
Pasta,3 g (484 g),423 cal
Baked Beans,3 oz (157 g),139 cal
Peach,1 tsp (59 g),311 cal
Doughnut,1 cup (306 g),219 cal
Raspberry,2 cup (317 g),398 cal
Corn,1 g (119 g),46 cal
Shrimp,3 cup (98 g),16 cal
Raspberry,2 slice (75 g),474 cal
Yogurt,2 cup (254 g),37 cal
Pear,2 g (109 g),212 cal
Tomato,2 cup (252 g),60 cal
Zucchini,3 tsp (235 g),274 cal
Lemon,2 oz (148 g),376 cal
Avocado,2 slice (78 g),254 cal
Almond Milk,2 oz (306 g),31 cal
Milk,2 tsp (412 g),114 cal
Quinoa,2 cup (348 g),112 cal
Chocolate,2 oz (488 g),251 cal
Butter,2 oz (61 g),91 cal
Chickpeas,2 g (401 g),201 cal
Broccoli,2 cup (79 g),142 cal
Apricot,3 g (386 g),305 cal
Blackberry,1 slice (77 g),457 cal
Raspberry,1 oz (167 g),20 cal
Crab,1 piece (131 g),31 cal
Duck,1 cup (376 g),331 cal
Almond Milk,1 piece (478 g),31 cal
Lentils,2 tsp (493 g),100 cal
Fish Fillet,2 slice (368 g),465 cal
Plum,1 oz (196 g),309 cal
Basil,3 tsp (323 g),219 cal
Duck,2 g (308 g),245 cal
Fish Fillet,2 tsp (176 g),417 cal
Lobster,1 piece (354 g),405 cal
Chicken Breast,1 oz (371 g),479 cal
Avocado,3 oz (243 g),425 cal
Blackberry,1 cup (74 g),116 cal
Sausage,1 oz (445 g),397 cal
Olive Oil,1 slice (107 g),8 cal
Pork,1 oz (354 g),214 cal
Quinoa,1 oz (155 g),274 cal
Mozzarella,3 oz (434 g),309 cal
Blueberry,1 oz (331 g),120 cal
Lentils,3 slice (462 g),475 cal
Garlic,1 tsp (367 g),455 cal
Celery,2 g (316 g),215 cal
Bagel,3 oz (310 g),128 cal
Rice,2 oz (273 g),294 cal
Tomato,2 cup (237 g),185 cal
Tuna,3 slice (214 g),383 cal
Milk,2 oz (55 g),433 cal
Yogurt,2 g (56 g),117 cal
Brownie,3 tsp (257 g),228 cal
Kiwi,1 slice (415 g),271 cal
Raspberry,3 piece (341 g),84 cal
Shrimp,3 slice (456 g),210 cal
Avocado,1 oz (471 g),340 cal
Steak,3 tbsp (206 g),115 cal
Pineapple,3 tsp (299 g),75 cal
Yogurt,2 tsp (213 g),128 cal
Cookie,2 slice (288 g),311 cal
Cake,1 slice (363 g),231 cal
Bagel,3 slice (188 g),94 cal
Crab,2 tbsp (181 g),252 cal
Feta Cheese,3 g (308 g),31 cal
Chicken Breast,1 piece (335 g),439 cal
Egg,2 cup (233 g),438 cal
Cucumber,3 g (483 g),8 cal
Bagel,3 piece (371 g),69 cal
Celery,2 g (336 g),50 cal
Sausage,2 tsp (190 g),79 cal
Peanut Butter,2 g (500 g),84 cal
Peas,1 piece (427 g),326 cal
Potato,3 g (98 g),500 cal
Steak,2 slice (57 g),82 cal
Honey,3 cup (143 g),104 cal
Lettuce,3 slice (415 g),403 cal
Cheese,3 cup (172 g),445 cal
Macadamia,3 slice (148 g),347 cal
Mozzarella,1 tsp (343 g),240 cal
Burger,3 slice (398 g),19 cal
Fish Fillet,3 g (83 g),29 cal
Celery,1 cup (432 g),59 cal
Mushroom,2 oz (61 g),206 cal
Kiwi,1 cup (57 g),346 cal
Peach,3 slice (420 g),337 cal
Apple,1 g (196 g),425 cal
Carrot,2 piece (351 g),408 cal
Pork,1 tsp (160 g),182 cal
Potato,3 oz (237 g),422 cal
Pineapple,1 oz (399 g),141 cal
Steak,3 tbsp (369 g),120 cal
Green Beans,3 cup (355 g),157 cal
Mango,1 slice (69 g),118 cal
Ice Cream,3 piece (232 g),187 cal
Cherry,2 cup (313 g),301 cal
Avocado,1 g (165 g),270 cal
Avocado,1 cup (433 g),265 cal
Raspberry,3 piece (422 g),95 cal
Olive Oil,3 g (224 g),120 cal
Lettuce,3 tbsp (350 g),15 cal
Chickpeas,1 piece (92 g),411 cal
Ginger,3 oz (308 g),128 cal
Oatmeal,3 piece (50 g),72 cal
Burger,2 g (318 g),9 cal
Mango,1 slice (85 g),119 cal
Mango,2 g (82 g),250 cal
Blackberry,2 tsp (157 g),499 cal
Baked Beans,2 piece (144 g),442 cal
Potato,3 piece (451 g),176 cal
Mushroom,2 tbsp (65 g),207 cal
Cherry,3 piece (358 g),37 cal
Tuna,2 tbsp (367 g),439 cal
Turkey,1 oz (131 g),220 cal
Pineapple,1 tsp (274 g),435 cal
Green Beans,2 g (230 g),137 cal
Kale,1 piece (141 g),58 cal
Tofu,1 tsp (231 g),309 cal
Brownie,3 tbsp (333 g),353 cal
Celery,2 g (279 g),77 cal
Celery,3 oz (454 g),218 cal
Walnut,1 piece (472 g),41 cal
Lettuce,2 tsp (400 g),81 cal
Hot Dog,1 tbsp (92 g),314 cal
Egg,2 g (230 g),412 cal
Olive Oil,3 slice (418 g),299 cal
Tofu,3 cup (351 g),406 cal
Banana,1 slice (61 g),202 cal
Broccoli,1 tbsp (212 g),246 cal
Mushroom,2 slice (493 g),440 cal
Butter,2 oz (210 g),187 cal
Waffle,2 tsp (181 g),146 cal
Milk,2 g (374 g),164 cal
Burger,1 tbsp (232 g),458 cal
Raspberry,3 tsp (294 g),163 cal
Corn,2 piece (188 g),264 cal
Pasta,1 oz (298 g),444 cal
Almond,3 cup (147 g),328 cal
Popcorn,3 oz (424 g),365 cal
French Fries,2 slice (188 g),439 cal
Carrot,2 tsp (171 g),120 cal
Apple,3 cup (129 g),44 cal
Steak,2 g (183 g),160 cal
Burger,3 tbsp (402 g),317 cal
Yogurt,2 oz (294 g),273 cal
Fig,2 cup (421 g),235 cal
Pork,1 tsp (185 g),368 cal
Spinach,3 tbsp (388 g),181 cal
Tofu,2 cup (388 g),481 cal
Watermelon,2 tsp (210 g),281 cal
Parsley,1 tsp (158 g),29 cal
Beef,2 tbsp (456 g),436 cal
Popcorn,3 piece (273 g),134 cal
Shrimp,3 tsp (415 g),178 cal
Cucumber,1 oz (421 g),24 cal
Raspberry,2 oz (279 g),251 cal
Peas,1 slice (147 g),84 cal
Grapes,1 g (423 g),339 cal
Cake,3 oz (449 g),372 cal
Egg,1 oz (489 g),435 cal
Mozzarella,1 cup (257 g),78 cal
Fig,2 piece (380 g),70 cal
Raspberry,3 oz (408 g),279 cal
Bagel,3 oz (193 g),153 cal
Burger,2 cup (397 g),222 cal
Prawns,3 g (376 g),109 cal
Coconut,1 tsp (357 g),257 cal
Pear,2 piece (325 g),251 cal
Celery,1 g (178 g),413 cal
Doughnut,3 slice (123 g),379 cal
Crab,1 cup (424 g),242 cal
Pineapple,3 oz (475 g),60 cal
Fish Fillet,3 piece (133 g),11 cal
Cucumber,2 slice (207 g),392 cal
Lamb,1 tbsp (108 g),136 cal
Fig,1 g (469 g),298 cal
Cookie,3 cup (260 g),300 cal
Popcorn,1 piece (331 g),340 cal
Corn,3 piece (385 g),314 cal
Tuna,1 g (161 g),310 cal
Chicken Breast,3 tsp (328 g),56 cal
Pancake,3 tbsp (415 g),322 cal
Peach,2 tbsp (343 g),354 cal
Avocado,2 g (484 g),114 cal
Mushroom,2 tbsp (276 g),323 cal
Parsley,2 slice (51 g),489 cal
Raspberry,3 piece (148 g),465 cal
Tomato,2 piece (479 g),213 cal
Spinach,2 tsp (434 g),436 cal
Waffle,1 cup (72 g),105 cal
Green Beans,3 cup (319 g),69 cal
Raspberry,1 piece (335 g),8 cal
Watermelon,2 slice (221 g),25 cal
Tofu,1 tsp (101 g),329 cal
Peas,1 slice (175 g),372 cal
Dates,3 slice (297 g),118 cal
Corn,2 g (280 g),294 cal
Oatmeal,2 piece (320 g),62 cal
Bagel,3 oz (361 g),270 cal
Walnut,1 tsp (193 g),46 cal
Chicken Breast,1 g (288 g),399 cal
Grapes,1 tbsp (351 g),394 cal
Tuna,3 slice (187 g),417 cal
Cheese,3 tbsp (108 g),427 cal
Milk,3 piece (422 g),495 cal
Soy Milk,1 g (128 g),20 cal
Cabbage,1 g (434 g),182 cal
Peach,3 tsp (293 g),486 cal
Egg,3 g (63 g),272 cal
Doughnut,1 slice (273 g),218 cal
Blueberry,1 g (93 g),184 cal
Spinach,1 piece (354 g),96 cal
Doughnut,3 g (311 g),468 cal
Prawns,2 oz (288 g),223 cal
Oatmeal,2 piece (118 g),304 cal
Almond Milk,2 g (425 g),38 cal
Fish Fillet,3 tsp (82 g),145 cal
Burger,1 piece (186 g),312 cal
Oatmeal,2 cup (469 g),87 cal
Prawns,2 tsp (282 g),449 cal
Duck,3 slice (381 g),478 cal
Walnut,1 cup (194 g),405 cal
Lamb,2 oz (369 g),248 cal
Kale,3 slice (52 g),449 cal
Crab,3 cup (80 g),333 cal
Cucumber,3 g (132 g),477 cal
Banana,1 cup (58 g),38 cal
Papaya,3 piece (264 g),161 cal
Zucchini,1 tbsp (454 g),33 cal
Brownie,2 piece (375 g),33 cal
Pizza,2 tsp (344 g),482 cal
Hazelnut,3 tsp (314 g),306 cal
Steak,1 piece (129 g),388 cal
Burger,1 tbsp (358 g),52 cal
Lettuce,3 tbsp (104 g),472 cal
Quinoa,1 oz (361 g),380 cal
Salmon,2 cup (155 g),74 cal
Spinach,2 slice (92 g),385 cal
Kale,3 oz (476 g),294 cal
Beef,2 g (191 g),330 cal
Egg,2 tbsp (498 g),42 cal
Pork,3 tbsp (121 g),20 cal
Kiwi,1 oz (450 g),428 cal
Walnut,2 cup (321 g),8 cal
Pork,3 cup (90 g),301 cal
Orange,1 oz (475 g),228 cal
French Fries,3 cup (274 g),398 cal
Dates,1 slice (233 g),50 cal
Avocado,3 g (51 g),118 cal
Milk,2 tbsp (347 g),438 cal
Butter,2 tsp (279 g),125 cal
Turkey,2 cup (341 g),41 cal
Orange,3 g (329 g),403 cal
Oatmeal,1 piece (464 g),59 cal
Watermelon,3 tsp (292 g),456 cal
Strawberry,1 slice (388 g),482 cal
Almond,1 tbsp (122 g),463 cal
Pear,3 cup (50 g),48 cal
Beef,3 slice (407 g),247 cal
Blueberry,1 slice (219 g),70 cal
Lemon,3 cup (181 g),298 cal
Walnut,1 tbsp (165 g),65 cal
French Fries,3 g (110 g),195 cal
Lettuce,1 tsp (411 g),300 cal
Beef,3 slice (230 g),37 cal
Papaya,1 slice (399 g),216 cal
Shrimp,2 cup (71 g),43 cal
Lettuce,2 tbsp (158 g),116 cal
Pineapple,2 tbsp (82 g),192 cal
Bacon,3 tbsp (315 g),344 cal
Salmon,1 tsp (245 g),434 cal
French Fries,2 cup (497 g),30 cal
Bagel,1 tbsp (113 g),426 cal
Cake,2 piece (230 g),184 cal
Rice,1 g (254 g),385 cal
Potato,3 slice (335 g),311 cal
Parsley,2 slice (353 g),318 cal
Plum,1 cup (51 g),195 cal
Lobster,1 slice (71 g),146 cal
Duck,1 oz (112 g),464 cal
Egg,1 g (265 g),359 cal
Egg,3 slice (103 g),394 cal
Peanut Butter,1 tsp (227 g),292 cal
Burger,2 slice (297 g),257 cal
Kiwi,1 tsp (57 g),347 cal
Apricot,2 tsp (180 g),288 cal
Parsley,3 oz (361 g),157 cal
Pancake,3 tbsp (451 g),391 cal
Chocolate,3 oz (406 g),165 cal
Basil,2 oz (357 g),197 cal
Cereal,2 slice (130 g),125 cal
Prawns,1 tsp (99 g),120 cal
Celery,1 cup (190 g),323 cal
Chocolate,2 piece (101 g),339 cal
Doughnut,2 piece (180 g),175 cal
Apple,2 oz (78 g),87 cal
Milk,2 tbsp (247 g),399 cal
Oatmeal,1 oz (267 g),52 cal
Fig,1 g (491 g),276 cal
Feta Cheese,2 g (198 g),447 cal
Lettuce,2 tbsp (297 g),379 cal
Tuna,3 g (228 g),229 cal
Brownie,1 oz (434 g),16 cal
Cucumber,2 tsp (210 g),169 cal
Steak,2 g (65 g),120 cal
Egg,2 cup (392 g),196 cal
Cherry,3 cup (367 g),160 cal
Crab,1 tbsp (121 g),52 cal
Chickpeas,2 tsp (326 g),433 cal
Hazelnut,2 tbsp (96 g),368 cal
Quinoa,1 g (322 g),242 cal
Kiwi,3 tsp (286 g),191 cal
Spinach,2 slice (139 g),106 cal
Chicken Breast,3 piece (379 g),422 cal
Pear,2 tsp (221 g),164 cal
Corn,3 cup (124 g),36 cal
Strawberry,2 cup (334 g),117 cal
Kiwi,2 tbsp (468 g),232 cal
Spinach,3 slice (251 g),241 cal
Carrot,2 tbsp (360 g),153 cal
Prawns,3 oz (299 g),468 cal
Cheese,2 tsp (447 g),107 cal
Peanut Butter,2 cup (187 g),374 cal
Apple,2 oz (101 g),117 cal
Mozzarella,2 oz (306 g),66 cal
Prawns,2 slice (188 g),253 cal
Lemon,2 oz (191 g),147 cal
Orange,1 oz (474 g),462 cal
Lettuce,1 slice (93 g),96 cal
Dates,3 tbsp (485 g),316 cal
Pizza,3 slice (357 g),149 cal
Garlic,1 piece (484 g),256 cal
Sausage,3 slice (124 g),345 cal
Pasta,2 piece (452 g),140 cal
Mushroom,1 slice (298 g),262 cal
Duck,2 cup (433 g),352 cal
Macadamia,2 slice (246 g),209 cal
Peanut Butter,3 tbsp (114 g),115 cal
Egg,3 piece (104 g),227 cal
Tuna,3 slice (142 g),259 cal
Cucumber,3 slice (174 g),61 cal
Popcorn,1 cup (421 g),111 cal
Oatmeal,3 slice (264 g),439 cal
Brownie,2 g (92 g),250 cal
Cereal,3 slice (493 g),499 cal
Shrimp,3 oz (337 g),8 cal
Kiwi,1 g (126 g),137 cal
Sausage,3 tsp (129 g),358 cal
Fig,3 tsp (311 g),391 cal
Bacon,2 piece (120 g),441 cal
Bacon,3 oz (280 g),335 cal
Burger,1 tbsp (88 g),206 cal
Cherry,2 tsp (283 g),153 cal
Pear,3 piece (269 g),339 cal
Raspberry,2 g (474 g),417 cal
Duck,3 g (500 g),268 cal
Brownie,1 slice (310 g),246 cal
Bacon,3 piece (421 g),385 cal
Ginger,3 tbsp (259 g),47 cal
Orange,3 oz (293 g),232 cal
Bagel,1 tsp (444 g),127 cal
Popcorn,2 tbsp (90 g),309 cal
Doughnut,3 slice (481 g),186 cal
Beef,3 slice (213 g),85 cal
Chickpeas,2 piece (92 g),60 cal
Celery,3 oz (382 g),489 cal
Broccoli,3 oz (279 g),86 cal
Celery,2 tbsp (213 g),131 cal
Cereal,3 oz (153 g),350 cal
Orange,2 tsp (121 g),52 cal
Basil,2 g (298 g),343 cal
Raspberry,3 piece (375 g),293 cal
Peach,2 piece (334 g),143 cal
Cashew,3 g (155 g),168 cal
Almond,3 slice (82 g),244 cal
Lentils,3 oz (256 g),277 cal
Apple,2 g (63 g),330 cal
Duck,1 oz (446 g),66 cal
Milk,2 tbsp (104 g),283 cal
Spinach,3 slice (167 g),413 cal
Soy Milk,3 g (206 g),174 cal
Strawberry,2 slice (181 g),341 cal
Peach,3 piece (121 g),418 cal
Bell Pepper,2 tsp (252 g),247 cal
Cherry,3 slice (469 g),383 cal
Orange,3 tsp (489 g),180 cal
Mango,3 cup (329 g),155 cal
Almond Milk,2 tbsp (130 g),37 cal
French Fries,3 slice (412 g),454 cal
Watermelon,3 tsp (352 g),164 cal
Orange,2 cup (217 g),475 cal
Walnut,2 oz (345 g),51 cal
Ginger,1 slice (476 g),342 cal
Lobster,2 piece (414 g),86 cal
Mushroom,1 cup (371 g),442 cal
Cherry,1 tsp (151 g),194 cal
Cashew,1 piece (109 g),350 cal
Plum,2 slice (385 g),341 cal
Celery,3 oz (227 g),279 cal
Soy Milk,2 piece (399 g),462 cal
Tuna,1 oz (50 g),247 cal
Fig,1 piece (212 g),371 cal
Bagel,2 slice (496 g),75 cal
Crab,1 tbsp (174 g),86 cal
Lettuce,1 oz (153 g),313 cal
Mozzarella,3 piece (145 g),37 cal
Pasta,1 tbsp (207 g),267 cal
Popcorn,2 oz (365 g),115 cal
Chickpeas,3 tsp (296 g),48 cal
French Fries,2 tsp (482 g),123 cal
Bread,3 tbsp (155 g),196 cal
Dates,2 tsp (291 g),245 cal
Lemon,1 tsp (229 g),42 cal
Ginger,1 tbsp (298 g),26 cal
Carrot,3 cup (467 g),440 cal
Fig,2 slice (469 g),380 cal
Egg,1 slice (361 g),190 cal
Bread,1 oz (442 g),353 cal
Cherry,2 piece (483 g),422 cal
Tuna,2 g (392 g),342 cal
Garlic,3 cup (223 g),300 cal
Parsley,1 slice (444 g),223 cal
Carrot,2 oz (196 g),247 cal
Baked Beans,1 piece (124 g),364 cal
Cucumber,2 oz (182 g),299 cal
Apple,1 piece (358 g),417 cal
Raspberry,2 cup (139 g),103 cal
Mushroom,3 g (252 g),400 cal
Milk,2 g (317 g),36 cal
Celery,1 piece (59 g),221 cal
Cherry,1 cup (465 g),235 cal
Bell Pepper,2 oz (246 g),273 cal
Doughnut,1 g (172 g),14 cal
Waffle,3 tbsp (149 g),133 cal
French Fries,1 oz (384 g),270 cal
Blueberry,1 tbsp (334 g),45 cal
Waffle,3 slice (264 g),441 cal
Doughnut,2 g (336 g),427 cal
Bell Pepper,2 cup (154 g),47 cal
Hot Dog,2 tsp (295 g),323 cal
Banana,2 tsp (414 g),25 cal
Chickpeas,3 slice (96 g),365 cal
Pineapple,1 g (394 g),7 cal
Plum,1 tsp (428 g),38 cal
Shrimp,1 oz (165 g),113 cal
Tofu,3 piece (374 g),231 cal
Tofu,3 piece (288 g),142 cal
Pancake,2 tbsp (177 g),413 cal
Tomato,2 tsp (465 g),7 cal
Pancake,3 slice (185 g),442 cal
Watermelon,1 cup (358 g),9 cal
